nome,grupo,afiliacao,anos_presente,n_anos
Maria Antônia Barros Freire Silva,Público,IAT,"2021, 2022, 2023, 2024, 2025, 2026",6
Rodolfo Vassoler da Silva,Público,PROGE,"2021, 2022, 2023, 2024, 2025, 2026",6
Érica Khatlab Kuraoka,Público,SANEPAR,"2021, 2022, 2023, 2024, 2025, 2026",6
Adonai Vinícius Zamboti,Privado,CODEM,"2024, 2025",2
Adriana Martines Garcia,Público,SEDUC,"2023, 2024",2
Aline Cristina Ramos Gava,Público,SELURB,"2023, 2024",2
Aline Priscila Bortolotto,Sociedade Civil,CREA,"2021, 2022",2
Aline Yukie Minasse Watanabe,Privado,FIEP,"2025, 2026",2
Amanda Cristina O. C. Vecchi,Academia,Instituto Cidade Canção,2026,1
Ana Lucia Rodrigues,Público,CMM,"2021, 2022, 2024, 2025, 2026",5
Ana Maria Alves Sapata Leme,Público,SEMUSP/SELURB,"2021, 2022",2
Ana Paula do Carmo Donato,Público,SEDUC,"2021, 2022",2
Andre Felipe Pereira Matos,Público,IAT,2025,1
Andrey Sergio Limonta,Público,SELURB,"2024, 2025, 2026",3
André da Costa Martins,Público,SEPLAN,"2021, 2022",2
Angélica Pelisson Franzin,Privado,Sindicato Rural de Maringá,"2021, 2022, 2025, 2026",4
Antônio Carlos Cavalheiro Moreto,Público,IAP/IAT,"2021, 2022, 2023",3
Bruna Caroline Altomani,Privado,COCAMAR,2023,1
Bruna Tais de Lima Moreira,Sociedade Civil,Instituto Cidade Canção,"2024, 2025, 2026",3
Bruno Grego dos Santos,Sociedade Civil,OAB,2024,1
Bruno Tonial Knappmann,Privado,CODEM,"2024, 2025, 2026",3
Claudia Costa Bonecker,Academia,UEM,"2023, 2024",2
Claudinei José Vecchi,Sociedade Civil,Instituto Funverde,"2021, 2022, 2023, 2024, 2025",5
Cláudio José Jorge,Sociedade Civil,Instituto Funverde,"2023, 2024, 2025, 2026",4
César Augusto Moreno,Sociedade Civil,OAB,2023,1
Diego Filipe Belloni,Privado,ACIM,"2021, 2022",2
Douglas Fabiano Costa de Lima,Público,SEURBH,"2021, 2022, 2023, 2024",4
Edi Junior Peliçon,Público,COPEL,"2023, 2024",2
Edlaura Gutierrez Pires,Público,SEURBH,"2023, 2024",2
Eduardo Alcântara Ribeiro,Público,Sec. Mun. de Saúde,"2021, 2022",2
Eduardo Augustinho dos Santos,Privado,CODEM,"2021, 2022",2
Eduardo Henrique de Araújo,Público,COPEL,2023,1
Elaine Massulo Biagi,Público,IAT,2024,1
Elenice Tavares Abreu,Academia,UEM,"2021, 2022",2
Erick Franco de Ramos,Público,SELURB,2024,1
Fernanda Jasinski Marcato,Público,SELURB,2023,1
Fernando Henrique de Santana Novaes,Academia,UNICV,"2025, 2026",2
Fernando Ursen Dias de Souza,Sociedade Civil,Instituto BiodiverCidade,2024,1
Francielly Podanoschi de Castro,Sociedade Civil,OAB,2023,1
Gabriel Borin Navachi,Público,Sec. Mun. de Saúde,"2023, 2024",2
Gilson José Fagion,Privado,INTEGRADA Cooperativa Agroindustrial,"2021, 2022, 2023, 2024",4
Gisele Visioli,Privado,Sindicato Rural de Maringá,"2021, 2022",2
Gislaine Lara Bussolo,Sociedade Civil,CREA,"2021, 2022",2
Gustavo Henrique Marques Rocha,Privado,COCAMAR,"2021, 2022",2
Heloisa Helena da Silva Machado,Academia,UEM,"2025, 2026",2
Isadora Janolio de Oliveira,Sociedade Civil,CRBio,"2023, 2024",2
Jessica Cristine Gontijo,Sociedade Civil,Instituto Cidade Canção,"2021, 2022",2
Joel Carneiro do Santos Filho,Público,EMATER/IDR,"2021, 2022",2
Jonson Rodrigues Farias Junior,Público,SEDUC,2025,1
Jose Roberto Francisco Behrend,Público,IAM,"2023, 2024, 2025, 2026",4
Jose Roberto Francisco Behrend,Privado,ACIM,"2023, 2024",2
José Evangelista dos Santos,Público,SEDUC,2023,1
João Batista Pereira da Silva,Privado,SINDUSCON,"2023, 2024",2
Juliane Aparecida Kerkhoff,Público,IAM,"2022, 2023, 2024",3
Julimari A. Bonvechio de Oliveira,Academia,UNIFAMMA,"2023, 2024",2
Keilla/Keola Francieli Marana da Fonseca,Público,SEDUC,"2025, 2026",2
Larissa Aparecida Webber Antunes,Público,SEMUSP/SELURB,2022,1
Laurice de Fátima Gobbi Ricardo,Academia,Unifamma,"2021, 2022",2
Layla Gabrielly Jardim Olivatti,Academia,UNIFAMMA,"2023, 2024",2
Leandro Cobre Sanches,Público,SEDUC,"2021, 2022",2
Leonardo Sperandio Furtado,Privado,ACIM,"2023, 2024, 2025, 2026",4
Lidia Maria da Fonseca Maróstica,Sociedade Civil,CRBio,"2021, 2022, 2025, 2026",4
Lorena Camila de Lima,Sociedade Civil,CRBio,2025,1
Luciana Sgarbi,Público,PROGE,"2024, 2025",2
Luciano Belato Alves,Público,Sec. Mun. de Saúde,"2023, 2024, 2025",3
Luerti Gallina,Sociedade Civil,Instituto Funverde,"2021, 2022",2
