norma,ano,ementa
Lei nº 11.366,2021,Adota a Agenda 2030 para o Desenvolvimento Sustentável como diretriz de políticas públicas municipais
"Lei nº 11.674, com redação da Lei 12118, de 2026",2023/2026,Institui a Diretriz da Política Municipal de Enfrentamento à Emergência Climática Global
Lei nº 11.918,2025,Institui o Programa Cidade Verde Resiliente (PCVR)
"LC nº 1.317, alterada pela LC 1396, de 2023",2022,Cria o Instituto Ambiental de Maringá (IAM) e define suas atribuições
LC nº 1.545,2026,Dispõe sobre o IPPLAM — Instituto de Pesquisa e Planejamento Urbano de Maringá
"LC nº 1.093, alterada pela LC nº 1317/2022 (IAM)",2017,"Política Municipal de Proteção, Preservação, Controle, Conservação e Recuperação do Meio Ambiente (COMDEMA/FUNDEMA)"
"LC nº 1.396, altera a LC 1317",2023,Acrescenta atribuições ao IAM e institui o Conselho Deliberativo do FUNDEMA
LC nº 1.424,2024,Plano Diretor de Maringá (revisão)
LC nº 1.468,2024,Dispõe sobre o Uso e Ocupação do Solo
Lei nº 11.518,2022,Institui a Política Municipal de Mobilidade Urbana
Lei nº 10.366,2016,Diretrizes para elaboração do Plano Municipal de Gestão Integrada de Resíduos Sólidos (PMGIRS)
Lei nº 10.454,2017,Aprova o Plano Municipal de Gestão Integrada de Resíduos Sólidos
Decreto nº 172,2020,Plano de Gestão da Arborização Urbana (PGAU)
LC nº 1.478,2024,Dispõe sobre o sistema viário municipal
LC nº 1.045 (redação LC 1.501),2016/2025,Código de Edificações e Posturas Básicas
LC nº 1.175 (com redação da LC 1.495),2019/2025,Regularização Fundiária
Lei nº 11.861,2024,Institui a Política Municipal de Aceleração Econômica
Lei nº 11.940,2025,Dispõe sobre a Coordenadoria Municipal de Proteção e Defesa Civil (COMPDEC)
Lei nº 9.860 (redação Lei 11.795),2014/2024,Institui o Programa IPTU Verde
LC nº 8131789,2011,Parcelamento do Solo Urbano
Lei Orgânica do Município,—,Obrigatoriedade de elaboração e implantação do Plano Diretor da Arborização Urbana
LC nº 677,2007,Código Tributário Municipal
