code,name,acronym,sphere,nature,group_type,ccfla_main,ccfla_secondary,justification
ORG-01,Instituto de Pesquisa e Planejamento Urbano de Maringá,IPPLAM,Municipal,Autarquia de planejamento,Público,"D3 – Dados, Conhecimento e Inteligência Climática",D1; D4,"Contraparte técnica da consultoria e órgão central de planejamento urbano; concentra produção de dados, planejamento territorial e integração entre as dimensões da metodologia CCFLA/CEPAL."
ORG-02,Secretaria de Obras Públicas,SEMOP,Municipal,Administração direta,Público,D1 – Planejamento e Política Climática,D2,"Responsável por obras de infraestrutura urbana; relevante para projetos financiáveis de adaptação, drenagem e resiliência."
ORG-03,Secretaria de Urbanismo e Habitação,SEURBH,Municipal,Administração direta,Público,D1 – Planejamento e Política Climática,D3,"Planejamento urbano, uso e ocupação do solo e habitação; central para adaptação, resiliência urbana e estruturação de projetos financiáveis."
ORG-04,Procuradoria Geral do Município,PROGE,Municipal,Administração direta,Público,D2 – Financiamento Climático e Capacidade Fiscal,D4,"Assegura viabilidade jurídica de instrumentos de financiamento, contrapartidas, operações de crédito e convênios."
ORG-05,Secretaria de Infraestrutura,SEINFRA,Municipal,Administração direta,Público,D1 – Planejamento e Política Climática,D2,"Infraestrutura urbana, drenagem e obras estruturantes; projetos de adaptação e resiliência climática."
ORG-06,Secretaria de Limpeza Urbana,SELURB,Municipal,Administração direta,Público,D1 – Planejamento e Política Climática,D3,"Gestão de resíduos sólidos e arborização urbana; relevante para mitigação, serviços ecossistêmicos e cobertura verde."
ORG-07,Secretaria de Governo,SEGOV,Municipal,Administração direta,Público,"D4 – Governança, Participação e Articulação Institucional",,Coordenação intragovernamental e articulação política; sustenta a governança horizontal do processo.
ORG-08,Instituto Ambiental de Maringá,IAM,Municipal,Autarquia ambiental,Público,D1 – Planejamento e Política Climática,D3,"Órgão ambiental municipal: licenciamento, controle ambiental, projetos e obras ambientais e saneamento; central para política climática e dados ambientais."
ORG-09,Secretaria Municipal de Fazenda,SEFAZ,Municipal,Administração direta,Público,D2 – Financiamento Climático e Capacidade Fiscal,,"Fundamental para avaliar orçamento, PPA, LDO, LOA, capacidade fiscal, endividamento, contrapartidas, fundos, operações de crédito e instrumentos de financiamento climático. Grande parte do eixo ""Orçamento e Finanças"" da CEPAL depende dessa secretaria."
ORG-10,Coordenadoria Municipal de Proteção e Defesa Civil,Defesa Civil,Municipal,Administração direta,Público,D1 – Planejamento e Política Climática,D3,"Essencial para as dimensões de adaptação, riscos climáticos, eventos extremos, planos de contingência, vulnerabilidade e priorização territorial. É um dos principais atores da metodologia da CEPAL."
ORG-11,Secretaria de Mobilidade Urbana,SEMOB,Municipal,Administração direta,Público,D1 – Planejamento e Política Climática,D2,"Importante para avaliar mitigação no transporte, PlanMob, transporte coletivo, mobilidade ativa, emissões e projetos financiáveis de mobilidade sustentável."
ORG-12,Conselho Municipal de Defesa do Meio Ambiente,COMDEMA,Municipal,Conselho deliberativo,Público,"D4 – Governança, Participação e Articulação Institucional",D1,"Complementa a avaliação da governança, participação social, funcionamento do FUNDEMA e mecanismos de deliberação."
ORG-13,Universidade Estadual de Maringá,UEM,Estadual,Universidade pública,Academia,"D3 – Dados, Conhecimento e Inteligência Climática",D4,"Parceira estratégica para validar estudos sobre clima, drenagem, vulnerabilidade, biodiversidade e geoprocessamento e apoiar a identificação de dados científicos disponíveis."
ORG-14,Instituto Água e Terra (ex-IAP),IAT,Estadual,Autarquia ambiental,Público,"D3 – Dados, Conhecimento e Inteligência Climática",D4,"Órgão ambiental estadual (licenciamento, recursos hídricos e dados ambientais); articulação vertical estado–município. Com assento no COMDEMA (2021–2026)."
ORG-15,Companhia de Saneamento do Paraná,SANEPAR,Estadual,Empresa pública,Público,D1 – Planejamento e Política Climática,D3,"Saneamento e recursos hídricos; relevante para adaptação, drenagem e segurança hídrica. Com assento no COMDEMA (2021–2026)."
ORG-16,Companhia Paranaense de Energia,COPEL,Estadual,Empresa pública,Público,D1 – Planejamento e Política Climática,,"Setor de energia; relevante para mitigação, eficiência energética e projetos de energia limpa. Com assento no COMDEMA (2021–2026)."
ORG-17,Instituto de Desenvolvimento Rural do Paraná / EMATER,EMATER/IDR,Estadual,Autarquia/instituto,Público,"D3 – Dados, Conhecimento e Inteligência Climática",,Extensão rural e desenvolvimento agrícola; interface rural–urbana e uso do solo. Com assento no COMDEMA (2021–2026).
